Result for strategy NFIX_BB_RPB
============================================================ BACKTESTING REPORT ============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|                19 |      2 |           1.41 |           2.82 |            11.196 |           1.12 |         0:20:00 |     2     0     0   100 |
|             19 31 |      1 |           2.86 |           2.86 |             9.142 |           0.91 |         1:55:00 |     1     0     0   100 |
|                35 |      1 |           2.84 |           2.84 |             9.023 |           0.90 |         0:35:00 |     1     0     0   100 |
|         10 34 103 |      1 |           1.89 |           1.89 |             8.878 |           0.89 |         0:05:00 |     1     0     0   100 |
|               104 |      2 |           0.86 |           1.72 |             8.404 |           0.84 |         0:35:00 |     2     0     0   100 |
|     6 10 18 30 33 |      1 |           2.53 |           2.53 |             7.466 |           0.75 |         3:20:00 |     1     0     0   100 |
|                37 |      2 |           1.03 |           2.05 |             7.113 |           0.71 |         0:25:00 |     2     0     0   100 |
|     11 33 101 102 |      1 |           1.50 |           1.50 |             6.886 |           0.69 |         0:45:00 |     1     0     0   100 |
|             37 40 |      1 |           1.93 |           1.93 |             6.735 |           0.67 |         1:05:00 |     1     0     0   100 |
|             11 18 |      1 |           1.38 |           1.38 |             6.535 |           0.65 |         0:05:00 |     1     0     0   100 |
|                17 |      4 |           0.51 |           2.02 |             6.253 |           0.63 |         4:42:00 |     3     0     1  75.0 |
|     101 103 37 40 |      1 |           2.19 |           2.19 |             6.046 |           0.60 |         0:15:00 |     1     0     0   100 |
|                12 |      1 |           1.28 |           1.28 |             5.843 |           0.58 |         0:25:00 |     1     0     0   100 |
|             3 105 |      1 |           1.28 |           1.28 |             5.577 |           0.56 |         0:05:00 |     1     0     0   100 |
|             32 41 |      1 |           2.04 |           2.04 |             5.301 |           0.53 |         0:15:00 |     1     0     0   100 |
|                13 |      1 |           2.47 |           2.47 |             5.271 |           0.53 |         0:55:00 |     1     0     0   100 |
|         14 101 37 |      1 |           1.55 |           1.55 |             4.384 |           0.44 |         0:05:00 |     1     0     0   100 |
|             10 18 |      1 |           1.37 |           1.37 |             4.115 |           0.41 |         0:10:00 |     1     0     0   100 |
|             11 26 |      1 |           0.85 |           0.85 |             3.902 |           0.39 |         0:20:00 |     1     0     0   100 |
|             26 37 |      1 |           1.29 |           1.29 |             3.877 |           0.39 |         1:05:00 |     1     0     0   100 |
|            18 101 |      1 |           1.22 |           1.22 |             3.771 |           0.38 |         0:05:00 |     1     0     0   100 |
|             10 42 |      1 |           1.17 |           1.17 |             3.400 |           0.34 |         0:15:00 |     1     0     0   100 |
|             5 104 |      1 |           1.08 |           1.08 |             3.259 |           0.33 |         0:05:00 |     1     0     0   100 |
|           6 10 26 |      1 |           0.91 |           0.91 |             2.757 |           0.28 |         0:15:00 |     1     0     0   100 |
